title,category,spec,price
Fuel Pump Assembly Compatible For Royal Enfield,Fuel Pump Assembly,"Material==ABS Plastic,Max Flow Rate==150 LPM,Color==White,Is It Rust Proof==Rust Proof,Warranty==1 MONTH WARRANTY,Usage/Application==An Integral Part Of Your Motorcycle Fuel System\,It Transfers Fuel To The Carburetor Or Fuel Injector,Country of Origin==Made in India",2400
Yamaha R15 S Fuel Pump,Fuel Pump Assembly,"Material==ABS Plastic,Max Flow Rate==150 LPM,Color==White,Is It Rust Proof==Rust Proof,Warranty==1 Month Warranty,Usage/Application==An Integral Part Of Your Motorcycle Fuel System\,It Transfers Fuel To The Carburetor Or Fuel Injector",2700
Delpher Fuel Pump for Bajaj Pulsar 150 Fi,Fuel Pump Assembly,"Fuel Type==Petrol,Voltage==12V,Material==Plastic & Metal,Automation Grade==Automatic,Packaging Type==Cardboard Box With Bubble Wrap,Usage/Application==An Integral Part Of Your Motorcycle Fuel System\, It Transfers Fuel To The Fuel Injector",2800
Petrol Delpher Fuel Pump Assembly For Activa 6G BS6,Fuel Pump Assembly,"Usage/Application==An Integral Part Of Your Motorcycle Fuel System\, It Transfers Fuel To The Fuel Injector,Voltage==12V,Max Flow Rate==125 LPM,Automation Grade==Automatic,Material==Plastic & Metal,Packaging Type==In Cardboard Box With Bubble Wrap,Fuel Type==Petrol",2400
Delpher Fuel Pump For TVS XL 100 BS6,Fuel Pump Assembly,"Usage/Application==An Integral Part Of Your Motorcycle Fuel System\, It Transfers Fuel To The Fuel Injector,Fuel Type==Petrol,Voltage==12V,Automation Grade==Automatic,Material==Plastic & Metal,Packaging Type==Cardboard Box With Bubble Wrap",2400
Petrol Delpher Fuel Pump For Hero Karizma ZMR,Fuel Pump Assembly,"Usage/Application==An Integral Part Of Your Motorcycle Fuel System\, It Transfers Fuel To The Fuel Injector,Voltage==12V,Max Flow Rate==125 LPM,Automation Grade==Automatic,Material==Plastic & Metal,Fuel Type==Petrol",2500
Petrol Delpher Fuel Pump For Honda CBR 150R,Fuel Pump Assembly,"Usage/Application==An Integral Part Of Your Motorcycle Fuel System\, It Transfers Fuel To The Fuel Injector,Voltage==12V,Max Flow Rate==125 LPM,Automation Grade==Automatic,Material==Plastic & Metal,Fuel Type==Petrol",2800
Petrol Delpher Fuel Pump for FZ V2 (Version 2),Fuel Pump Assembly,"Usage/Application==An Integral Part Of Your Motorcycle Fuel System\, It Transfers Fuel To The Fuel Injector,Voltage==12V,Max Flow Rate==125 LPM,Automation Grade==Automatic,Material==Plastic & Metal,Fuel Type==Petrol",3200
Puf Insulated Wall Panel,PUF Insulated Wall Panel,,900
"Steel 1/2 Inch Hose Nipples, For Industrial","Hydraulic Hose Fittings,Hose Nipples","Finishing Type==Polished,Brand==Silver,Nominal Pipe Size==2 inches,Size==1/2 inch,Material==Steel,Usage/Application==Industrial",150
Swivel Nut Hydraulic Hose Fitting,"Hydraulic Hose Fittings,Hose End Fittings",,30
"White 20mm Teflon Rod, 1000 mm",Teflon Rods,"Application==Plastic Molding Industry,Tensile Strength==25 MPa,Melting Point (Degree C)==80,Length==1000 mm,Diameter==20 mm,Color==White",950
"SS 202 Super Market Shopping Trolley, 50-100 kg",Shopping Trolley,"Load Capacity==50-100 kg,Wheel==Four-Wheel,Model Name/Number==SS SHOPPING TROLLEY 202,Brand==DK,Type==PU WHEEL TROLLEY,Country of Origin==Made in India,Material==SS 202,Usage/Application==Shopping",2500
"Four-Wheel Plastic 4 Wheel Shopping Basket, For Supermarket","Shopping Baskets,Shopping Trolley","Load Capacity==50 L,Usage/Application==Supermarket,Material==Plastic,Wheel==Four-Wheel,Type==shopping,Color==Any,Size/Dimension==600*450 mm,Brand==DK,Depth==450mm,Good Quality==Best quality",850
THB1248CE Size 120X120X38mm DC48V 1.14AA RPM Brushless Air Cooling Fan,DC Cooling Fan,"Speed==>3000 rpm,Size==3 inch,Type==Air Cooling Fan,Color==Black,Voltage==48V,Rated input [W]==54.72W,Usage/Application==Application: Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc. BBQ Barbeque,Power Source==Electric,Power Source==Battery,Country of Origin==Made in India",450
"24V 3 Inch (80mm) DC Cooling Fan (Multiple Sizes And Brands), 24VDC","DC Cooling Fan,Cooling Fans,DC Brushless Fan","Speed==>3000 rpm,Size==3 inch,Type==Air Cooling Fan,Voltage==24VDC,Usage/Application==For cooling purpose,Color==Black,Material==Plastic,Model Name/Number==24V 3 inch (80mm) DC Cooling Fan (Multiple Sizes And Brands)",75
"610 x 2mm 8mtr Adhesive Magnetic Sheet Roll, Width: A3",Magnetic Rolls,"Shape==Sheet / Rolls,Thickness (mm)==2,Colour==Black,Thickness==2 mm,Width==A3",5500
Glass Fibre BHAGWATI Replacement Filters In Pimpri Pune Maharashtra,"Hydraulic Oil Filters,Hydraulic Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
200 ML AURA + TLP GOLDEN METALISED,"PET Bottles,Metallic Pumps",,15
Aluminium Hydraulic 8 Inch Heavy Duty Hose Clamp,Heavy Duty Hose Clamps,"Color==Silver,Thickness==12mm,Type==Heavy Duty Clamp,Material==Aluminium,Structure==Hydraulic,Size/Diameter==8 inch",12
12mm Ribbed Type Rebar Coupler,Rebar Coupler,,
Glass Fibre Hydraulic Oil Filters In Kahalgaon Bihar,Hydraulic Oil Filters,"Diameter==4 inch,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
"GEA Westfalia Oil Separator & Centrifuge, Capacity: 2000 TO 2500 LPH","Oil Purifier,Oil Separator","Capacity==2000 TO 2500 LPH,Model==OSA 20,Brand==Westfalia,Size/Dimension==Avl On Request",300000
32mmAntiRotationRebarCoupler,Rebar Coupler,,
"Mirror Finish 2.5Mm Green Virgin Cast Acrylic Sheets, Size: 4x8 ft",Cast Acrylic Sheet,"Usage/Application==Advertising,Brand==Raj Incorporated,Color==White,Thickness==2.5mm,Size==4x8 ft,Finish==Mirror Finish",3670
Hypalon Rubber Sheets,Rubber Sheets,"Thickness==6 mm,You Supply In==Roll,Tensile Strength==20 Mpa,Color==Black,Shape==Rectangular,Temperature Range==200,Country of Origin==Made in India",600
"Rotary Atomizer Spray Dryers, Capacity(Kg/Hr): 200",Spray Dryers,"Surface Finish==Polished,Material==Stainless Steel,Power Source==Electricity,Automation Grade==Automatic,Brand==Trinitron,Usage==Industry,Airflow==0-330 m3/h,Capacity(Kg/Hr)==200,Type==Nozzle Type",5000000
Homatic Smart Switchable Glass Film/Pdlc,Switchable Glass,"Thickness==4 mm,Usage/Application==Office,Color==Transparent,Size==101-500 Square Feet,Features==5 year warranty\,VLT greater than 90%.,Material==High quality ultra clear premium PDLC,Suitable For==Privacy\,rear projection\,noise cancellation and UV/IR rays blocking purpose",1299
12mm Clear Toughened Glass (partition work),"Toughened Glass,Glass Partition","Glass Type==Plain Glass,Pattern==Plain,Thickness==12 mm,Usage/Application==Partition,Color==Clear",250
Texture Brush For Concrete Road 2 feet,"Texturing Brush,Bull Float","Brush Length==2 ft,Brand==MSPI,Weight==3 kg ( Brush length 2 feet\, Handle 5 feet ),Colour==Silver,Country of Origin==Made in India",2700
Ldpe sheet Construction Separation Membrane,Ldpe Sheet,,75
"Alloy Steel Heavy vehicle Hydraulic Jack 50 Ton, For Industrial",Hydraulic Jacks,"Weight Of Jack==40 kgs,Close Height==280mm,Color==Yellow,300 mm close height==40 kg,Capacity==50 Ton,Usage/Application==Industrial,Material==Alloy Steel,Vehicle Type==Heavy vehicle",16000
Wood fridge magnet,Fridge Magnet,,65
"Black AD0624UB-A70GL, Adda Make Cooling Fan, Size: 60 MM X 60 MM X 25 MM, 24 V","Cooling Fans,Axial Fans,Panel Fans","Material==Plastic,Type==Axial Fan,Model Name/Number==AD0624UB-A70GL,Color==Black,Warranty==1 Year,Current==0.16A,I Deal In==New Only,Brand==ADDA,Voltage==24 V,Size==60 MM X 60 MM X 25 MM",440
"120X140X70mm IP65 Plastobox ABS Enclosure, For Telecom",ABS Enclosure,"Mounting Type==Pole Mount,Features==UV-Resistant,Features==Waterproof,Features==Dust-Proof,Thickness (mm)==3 MM,Shape==Rectangle,Color==Light gray,Application==Telecom,Material==ABS,IP Rating==IP65,Dimensions (mm)==120X140X70 MM",145
"Alkon CRCA Steel Shelving Unit ASU 35, Size/dimension: H 18755mm x W 900mm x D400mm","Bin Racks,Alkon Shelf Unit","Usage/Application==Office\,Industry\,Pharmacy & School,Number Of Shelves==11,Material==CRCA Steel,Brand==Alkon,Height==1875mm,Size/Dimension==H 18755mm X W 900mm X D400mm,Finish==Powder Coating,Depth==400mm,Suitable For==Bins,Product Code==ASU-35,Colour==Light Grey",26000
Leaf Type Air Expandable Shaft,"Air Shaft,Air Expanding Shaft,Lug Air Shafts","Steel==MS,Country of Origin==Made in India",7500
"Square White Ptfe Gland Packing Rope, 150 m","Gland Packing Rope,PTFE Ropes","Diameter==8 mm,Rope Type==Braided,Strand Structure==3 Ply,Breaking Temperature==300 Degree C,Packaging Type==Roll,Country of Origin==Made in India,Material==PTFE,Length==150 m,Rope Shape==Square,Color==White",1900
"Rubber IEC Electrical Insulation Mat, Thickness: 3 mm","Insulation Mat,Electric Shock Proof Mats","Voltage==11 KV,Size==1 Meter Wide,Color==Black,Usage/Application==Industrial,Country of Origin==Made in India,Thickness==3 mm,Material==Rubber",400
HDPE Garbage Waste Bin,"Dust Bin Trolley,Garbage Bin","Capacity==60 LTR\, 70LTR\, 80LTR\, 90LTR\, 110 LTR\, 120 LTR\, 240 LTR\, 360 LTR,Structure==Open Top,Usage/Application==HOSPITALS\, HOME\, OFFICE\, APARTMENT\, COLLAGE\, SCHOOL,Brand==ARISTO,Material==HDPE,Color==GREEN\, BLUE\, RED\, YELLOW",2992
Jupiter Scooter fuel pump,Fuel Pump Assembly,"Max Flow Rate==150 LPM,Material==plastic,Color==White,Surface Treatment==Color Coated,Country of Origin==Made in India",2500
"Fiberglass Insulation Wool, Thickness: 20 mm",Glass Wool,"Shape==Rolls,Color==Yellow,Max Temperature Resistance==200 degree Celsius,Thickness==20 mm,Usage/Application==Insulation,Material==Fiberglass",110
"Air Curtain 6 Feet Aluminium Body (Standard Series), For Industrial Usage, Door Size: 10 ft",Air Curtain,"Noise Level==55 dB,Air Velocity==23 m/s,Mounting==Wall Mount,Color==White,Brand==Chronovex,Country of Origin==Made in India,Door Size==10 ft,Usage/Application==Industrial Usage",17900
Glass Fibre Hydraulic Oil Filters In Nabinagar- BRBCL Bihar,Hydraulic Oil Filters,"Diameter==4 inch,Filter Type==HYDAC FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Eaton Replacement Filter In Khorda Bhubaneswar Odisha,"Hydraulic Oil Filters,Replacement Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 50 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",998
500 Bar High Pressure Pumps,High Pressure Pumps,"Power Source==Electric Motor,Voltage==400-440V,Hose Length==10 Meters,Motor Phase==Three Phase,Warranty==1 year,Weight==350 kgs.,Sound pressure level (dB(A))==78,Pressure Range==500 Bar",325000
"ESI SINGLE WHEEL BARROW, Load Capacity: Up to 50 kg","Single Wheel Barrow,Hand Wheelbarrow","Capacity==100 kg,Load Capacity==Up to 50 kg,Brand==ESI,Usage/Application==Construction,Type==MS",5000
1000 kg PERMANENT MAGNETIC LIFTER 1 TON,"Permanent Magnetic Lifter,Lifting Magnets","Lifting Capacity==1000 kg,Load Capacity==1000 kg,Type Of Magnet Used==Permanent Lifting Magnet,Shape==Rectangle,Colour==Yellow",23000
"Galvanised Hexagonal Gabion Box, For Industrial",Gabion Box,"Type Of Wire==Galvanised,Usage/Application==Industrial,Size==1Mt width,Material Grade==Zinc PVC coated hexagonal Gabion mesh box,Mesh Size==100mm*120mm,Material==Stainless Steel,Hole Shape==Hexagonal,Shape==100x120,Color==Grey,Surface Treatment==Galvanised,Tensile Strength==380 n/mm,Coating==Zinc + pvc coating",600
"Zinc Pvc Coated Gabion Box, For Industrial",Gabion Box,"Wire Gauge (mm)==2-4 mm,Material==Galvanized Iron Wire,Usage==Industrial,Thickness==4 mm,Width==up to 1 m",120
"Galvanised ZN+PVC Gabion K K Wires Mesh Boxes, For Industrial",Gabion Box,"Wire Diameter==2.5 mm,Type Of Wire==Galvanised,Usage/Application==Industrial,Mesh Size==100x120 mm,Material==ZN+PVC,Hole Shape==HEXAGONAL,Color==Grey,Country of Origin==Made in India",120
"Mesh Wire Gabion Box, For River,Road, Material Grade: Reliance Resin pvc","Gabion Box,Gabion Mattress","Wire Diameter==2.5 mm,Usage==River\, Road,Size==4mt x 1mt x 1mt \, 4mt x 1.5mt x 1mt,Material Grade==Reliance Resin pvc,Mesh Size==100x120 mm,Type Of Wire==Hexagonal Gabion Mesh,Material==Zn + PVC,Hole Shape==100 x 120,Tensile Strength (n/Mm)==380 n/mm,Width==up to 1 m",580
"Galvanised Pvc Coated Gabion Box, For Industrial","Gabion Box,Gabion Mattress","Type Of Wire==Galvanised,Usage/Application==Industrial,Size==Customized,Material Grade==Zinc Pvc Coated,Material==Pvc Coated Gabion Box",600
Glass Fibre Eaton Replacement Filter In Firozabad Uttar Pradesh,"Hydraulic Oil Filters,Replacement Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
"Stone Galvanised Dam Side Protection Gabion Wall, Material Grade: Reliance Resin pvc Compound",Gabion Box,"Wire Diameter==2.5 mm,Usage/Application==Plot Protection gabion Wall,Type Of Wire==Galvanised,Built Type==Modular,Size==3mt x 1mt x 1mt,Type==Boundary Wall,Material Grade==Reliance Resin pvc compound,Mesh Size==100x120 mm,Material==Stone,Color==Grey",600
Glass Fibre Eaton Replacement Filter In Moradabad Uttar Pradesh,"Hydraulic Oil Filters,Replacement Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Mild Steel Storage Racks Heavy Duty Rack Manufacturers,"Heavy Duty Racks,Heavy Duty Steel Rack,Industrial Rack","Load Per Layer==>500kg,No. Of Shelves==4,Usage/Application==Storage,Storage Capacity==CUSTOMISE,Material==Mild Steel,Product Type==Storage Racks,Frame Load Capacity==CUSTOMISE,Layers Per Rack==CUSTOMISE",14300
Stainless Steel Wire Mesh Hydraulic Oil Filters In Sipat Chhattisgarh,"Hydraulic Oil Filters,Filter Elements","Diameter==4 inch,Filter Type==HYDAC FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Stainless Steel Wire Mesh,Usage/Application==Oil Filter",999
Glass Fibre Stauff Replacemnt Filter,"Hydraulic Oil Filters,Industrial Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Glass Fibre Eaton Replacement Filter In Raiganj West Bengal,"Hydraulic Oil Filters,Replacement Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Eaton Replacement Filter In Kagithapuram Tamil Nadu,"Hydraulic Oil Filters,Replacement Filters","Usage/Application==Oil Filter,Diameter==4 inch,Filter Medium Material==Fiberglass,Automation Grade==Manual,Is It Washable==Non Washable,Country of Origin==Made in India",999
Glass Fibre Eaton Replacement Filter In Shantiniketan West BengaL,"Hydraulic Oil Filters,Replacement Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Glass Fibre Filtrec Replacement Filter In Madhya Pradesh,"Hydraulic Oil Filters,Replacement Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER,Filtration Rating==3 TO 25 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Glass Fibre Industrial Filters In Tamil Nadu,"Hydraulic Oil Filters,Industrial Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRAULIC FILTER,Filtration Rating==3\,5\,10\,15\,20,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Glass Fibre Eaton Replacement Filter In Haridwar Uttarakhand,"Hydraulic Oil Filters,Replacement Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 100 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Glass Fibre Eaton Replacement Filter In Tiruppur Tamil Nadu,"Hydraulic Oil Filters,Replacement Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Glass Fibre Eaton Replacement Filter,"Hydraulic Oil Filters,Filter Elements","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Glass Fibre Eaton Replacement Filter In Kalpakkam Tamil Nadu,"Hydraulic Oil Filters,Replacement Filters","Diameter==4 inch,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre",999
Filtration Equipment .,Hydraulic Oil Filters,Country of Origin==Made in India,99999
Glass Fibre Hydraulic Oil Filters In Chher Nani Kutch Gujarat,"Hydraulic Oil Filters,Hydraulic Filters","Diameter==4 inch,Filter Type==HYDAC FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Obra Sonbhadra Uttar Pradesh,"Hydraulic Oil Filters,Hydraulic Filters","Diameter==4 inch,Filter Type==HYDAC FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Kota Rajasthan,"Hydraulic Oil Filters,Hydraulic Filters","Diameter==4 inch,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Jharli Jhajjar Haryana,"Hydraulic Oil Filters,Hydraulic Filters","Diameter==4 inch,Filter Type==HYDRUALIC FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Lalpania Bokaro Jharkhand,"Hydraulic Oil Filters,Hydraulic Filters","Diameter==4 inch,Filter Type==HYDAC FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Neyveli Cuddalore Tamil Nadu,"Hydraulic Oil Filters,Hydraulic Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
Glass Fibre Hydraulic Oil Filters In Ennore Chennai Tamil Nadu,"Hydraulic Oil Filters,Hydraulic Filters","Diameter==4 inch,Filter Type==HYDRUALIC FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
